CATEGORY,AREA_CD,AREA_NM,TOT_REG_CD,ADM_NM,ADM_CD,REG_AREA,AREA,RATE,Area to st,Area to _1
인구밀집지역,POI019,구로디지털단지역,"1121072040004",조원동,"1121072",31293.87,19258.567,0.615,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054010002",구로3동,"1117054",158768.71,90178.402,0.568,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054020006",구로3동,"1117054",144692.21,96635.192,0.668,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054030002",구로3동,"1117054",102853.42,71958.926,0.700,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054030001",구로3동,"1117054",64137.39,50439.666,0.786,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054040011",구로3동,"1117054",9009.24,9004.969,1.000,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054040008",구로3동,"1117054",14498.38,14498.375,1.000,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054040009",구로3동,"1117054",9797.66,9797.660,1.000,"417",금천
인구밀집지역,POI019,구로디지털단지역,"1117054040004",구로3동,"1117054",165152.41,154996.647,0.939,"417",금천
인구밀집지역,POI020,구로역,"1117051030201",신도림동,"1117051",8502.30,8064.254,0.948,"405",양천
인구밀집지역,POI020,구로역,"1117056020011",구로5동,"1117056",75988.13,70353.590,0.926,"405",양천
인구밀집지역,POI021,군자역,"1105054010001",군자동,"1105054",21026.49,21026.495,1.000,"413",광진
인구밀집지역,POI021,군자역,"1105054010002",군자동,"1105054",11275.68,5514.232,0.489,"413",광진
인구밀집지역,POI021,군자역,"1105054030003",군자동,"1105054",18084.96,13762.319,0.761,"413",광진
인구밀집지역,POI021,군자역,"1105054030009",군자동,"1105054",22482.23,22482.229,1.000,"413",광진
인구밀집지역,POI021,군자역,"1105055020004",중곡1동,"1105055",31768.97,20565.384,0.647,"413",광진
인구밀집지역,POI021,군자역,"1105056020032",중곡2동,"1105056",12193.43,10752.708,0.882,"413",광진
인구밀집지역,POI021,군자역,"1105056020028",중곡2동,"1105056",31883.69,31883.685,1.000,"413",광진
인구밀집지역,POI021,군자역,"1105056020007",중곡2동,"1105056",12531.76,6731.834,0.537,"413",광진
인구밀집지역,POI021,군자역,"1105056020003",중곡2동,"1105056",15289.48,4997.848,0.327,"413",광진
인구밀집지역,POI021,군자역,"1105059010019",능동,"1105059",51188.28,40490.607,0.791,"413",광진
인구밀집지역,POI021,군자역,"1105059010013",능동,"1105059",17865.94,17803.075,0.996,"413",광진
인구밀집지역,POI021,군자역,"1105059010012",능동,"1105059",21877.42,16401.601,0.750,"413",광진
인구밀집지역,POI021,군자역,"1105059010014",능동,"1105059",9463.71,1594.617,0.168,"413",광진
인구밀집지역,POI021,군자역,"1105059010016",능동,"1105059",16501.03,6364.268,0.386,"413",광진
인구밀집지역,POI022,남구로역,"1117054020006",구로3동,"1117054",144692.21,4230.300,0.029,"437",광명
인구밀집지역,POI022,남구로역,"1117054020005",구로3동,"1117054",17613.93,8531.092,0.484,"437",광명
